County,2000,2001,2002,2003,2004,sum
GA:_Franklin_County,4,1,1,2,3,11
GA:_Gilmer_County,3,0,4,0,1,8
GA:_Glynn_County,5,7,1,4,7,24
GA:_Gordon_County,3,1,4,6,2,16
GA:_Grady_County,1,1,1,1,3,7
GA:_Habersham_County,1,5,3,2,2,13
GA:_Hall_County,7,7,7,11,10,42
GA:_Haralson_County,1,1,5,1,2,10
GA:_Harris_County,1,1,3,1,0,6
GA:_Hart_County,2,1,2,0,2,7
GA:_Heard_County,0,0,1,0,1,2
GA:_Henry_County,6,6,8,13,7,40
GA:_Houston_County,6,3,4,10,5,28
GA:_Irwin_County,0,1,0,0,1,2
GA:_Jackson_County,1,3,3,6,1,14
GA:_Jeff_Davis_County,1,2,0,1,1,5
GA:_Jenkins_County,0,0,2,2,2,6
GA:_Johnson_County,0,0,1,0,1,2
GA:_Jones_County,1,2,1,1,3,8
GA:_Lamar_County,2,4,0,1,1,8
GA:_Lanier_County,0,0,1,1,1,3
GA:_Laurens_County,4,2,2,4,3,15
GA:_Lee_County,3,1,0,2,0,6
GA:_Liberty_County,1,3,2,1,4,11
GA:_Lincoln_County,0,0,0,0,1,1
GA:_Long_County,0,0,0,0,0,0
GA:_Lowndes_County,7,5,0,2,5,19
GA:_Lumpkin_County,3,1,2,1,0,7
GA:_McDuffie_County,2,0,3,4,1,10
GA:_McIntosh_County,1,0,0,0,1,2
GA:_Macon_County,1,1,1,1,1,5
GA:_Madison_County,1,2,3,2,1,9
GA:_Marion_County,2,0,1,0,1,4
GA:_Meriwether_County,1,2,1,1,1,6
GA:_Miller_County,1,0,1,1,0,3
GA:_Mitchell_County,0,0,4,2,0,6
GA:_Monroe_County,0,2,1,1,3,7
GA:_Montgomery_County,1,0,2,0,2,5
GA:_Murray_County,3,1,1,2,3,10
GA:_Muscogee_County,10,9,12,9,3,43
GA:_Newton_County,4,4,5,8,7,28
GA:_Oconee_County,0,3,1,0,2,6
GA:_Oglethorpe_County,1,0,1,3,0,5
GA:_Paulding_County,5,3,4,6,6,24
GA:_Peach_County,1,2,2,0,2,7
GA:_Pickens_County,2,2,3,1,1,9
GA:_Pierce_County,1,0,2,1,1,5
GA:_Pike_County,1,0,0,0,2,3
GA:_Polk_County,4,6,3,4,4,21
GA:_Pulaski_County,2,2,2,1,0,7
GA:_Quitman_County,0,0,0,0,0,0
GA:_Rabun_County,2,1,1,2,0,6
GA:_Randolph_County,0,0,0,0,1,1
GA:_Richmond_County,9,16,8,10,6,49
GA:_Rockdale_County,5,4,7,6,4,26
GA:_Schley_County,0,0,2,0,0,2
GA:_Screven_County,1,0,0,2,0,3
GA:_Seminole_County,0,0,1,0,2,3
GA:_Spalding_County,3,1,3,1,3,11
GA:_Stephens_County,3,4,0,0,0,7
GA:_Stewart_County,1,0,0,0,1,2
GA:_Sumter_County,2,1,1,4,1,9
GA:_Talbot_County,0,1,0,0,0,1
GA:_Tattnall_County,1,0,0,0,3,4
GA:_Taylor_County,0,0,0,1,0,1
GA:_Telfair_County,1,1,1,1,0,4
GA:_Terrell_County,1,1,1,1,1,5
GA:_Thomas_County,3,2,4,0,3,12
GA:_Tift_County,3,2,2,3,2,12
GA:_Toombs_County,0,2,5,2,3,12
GA:_Towns_County,0,1,1,1,1,4
GA:_Treutlen_County,0,0,0,1,0,1
GA:_Troup_County,1,0,1,0,2,4
GA:_Turner_County,0,2,0,1,0,3
GA:_Twiggs_County,0,0,0,0,0,0
GA:_Union_County,2,3,2,1,4,12
GA:_Upson_County,1,4,2,1,2,10
GA:_Walker_County,5,3,4,9,4,25
GA:_Walton_County,4,5,3,1,6,19
GA:_Ware_County,2,1,4,2,5,14
GA:_Wayne_County,1,2,2,1,2,8
GA:_Webster_County,0,0,0,0,0,0
GA:_Wheeler_County,0,0,0,0,0,0
GA:_White_County,0,3,0,2,1,6
GA:_Whitfield_County,2,5,5,8,5,25
GA:_Wilcox_County,0,0,0,0,1,1
GA:_Wilkes_County,1,2,1,0,0,4
GA:_Wilkinson_County,2,0,0,0,1,3
GA:_Worth_County,1,3,0,0,0,4
HI:_Hawaii_County,5,10,9,9,5,38
HI:_Honolulu_County,41,43,42,33,30,189
HI:_Kalawao_County,0,0,0,0,0,0
HI:_Kauai_County,3,0,2,4,5,14
HI:_Maui_County,7,8,2,3,7,27
ID:_Ada_County,27,19,18,22,22,108
ID:_Adams_County,0,0,1,0,1,2
ID:_Bannock_County,5,4,2,7,4,22
ID:_Bear_Lake_County,0,0,1,0,1,2
ID:_Benewah_County,0,0,0,2,0,2
ID:_Bingham_County,2,0,0,6,2,10
ID:_Blaine_County,2,1,3,0,0,6
ID:_Boise_County,0,2,0,0,0,2
ID:_Bonner_County,4,2,5,2,2,15
ID:_Bonneville_County,6,7,6,4,5,28
ID:_Boundary_County,0,3,1,0,1,5
ID:_Butte_County,0,1,0,1,1,3
ID:_Camas_County,0,0,0,0,0,0
ID:_Canyon_County,3,10,13,12,10,48
ID:_Caribou_County,1,0,0,0,1,2
ID:_Cassia_County,1,1,2,0,0,4
ID:_Clark_County,0,0,0,0,0,0
ID:_Clearwater_County,1,0,1,1,0,3
ID:_Custer_County,0,0,0,0,1,1
ID:_Elmore_County,0,2,2,3,3,10
ID:_Franklin_County,0,1,2,0,0,3
ID:_Fremont_County,0,1,1,3,1,6
ID:_Gem_County,2,1,1,2,3,9
ID:_Gooding_County,0,0,1,3,2,6
ID:_Idaho_County,2,0,0,1,3,6
ID:_Jefferson_County,5,2,2,0,0,9
ID:_Jerome_County,0,0,3,0,2,5
ID:_Kootenai_County,7,7,11,6,10,41
ID:_Latah_County,3,2,3,0,3,11
ID:_Lemhi_County,0,1,0,0,0,1
ID:_Lewis_County,1,2,1,0,1,5
ID:_Lincoln_County,0,0,0,1,1,2
ID:_Madison_County,0,0,1,1,1,3
ID:_Minidoka_County,0,0,2,0,0,2
ID:_Nez_Perce_County,2,1,3,3,1,10
ID:_Oneida_County,0,1,0,0,1,2
ID:_Owyhee_County,1,1,2,2,0,6
ID:_Payette_County,4,1,0,3,2,10
ID:_Power_County,0,0,0,2,0,2
ID:_Shoshone_County,3,2,3,1,3,12
ID:_Teton_County,2,1,1,0,0,4
ID:_Twin_Falls_County,7,2,9,5,4,27
ID:_Valley_County,2,1,2,0,0,5
ID:_Washington_County,1,0,1,0,2,4
IL:_Adams_County,6,4,3,6,7,26
IL:_Alexander_County,0,0,0,3,1,4
IL:_Bond_County,1,1,0,0,1,3
IL:_Boone_County,1,1,3,1,2,8
IL:_Brown_County,0,0,0,0,0,0
IL:_Bureau_County,1,4,1,3,5,14
IL:_Calhoun_County,0,0,0,0,0,0
IL:_Carroll_County,3,0,2,0,0,5
IL:_Cass_County,2,0,1,2,0,5
IL:_Champaign_County,9,11,9,6,5,40
IL:_Christian_County,1,6,3,3,5,18
IL:_Clark_County,1,1,2,0,0,4
IL:_Clay_County,3,0,1,1,3,8
IL:_Clinton_County,3,1,3,2,6,15
IL:_Coles_County,4,1,0,3,3,11
IL:_Cook_County,275,292,272,282,305,1426
IL:_Crawford_County,1,0,0,1,2,4
IL:_Cumberland_County,1,0,2,1,1,5
IL:_DeKalb_County,4,4,9,3,5,25
IL:_De_Witt_County,3,2,2,1,1,9
IL:_Douglas_County,0,1,3,2,0,6
IL:_DuPage_County,56,66,69,71,56,318
IL:_Edgar_County,0,2,1,2,2,7
IL:_Edwards_County,0,0,0,0,0,0
IL:_Effingham_County,2,2,1,1,1,7
IL:_Fayette_County,1,3,2,3,0,9
IL:_Ford_County,5,2,0,0,1,8
IL:_Franklin_County,8,1,2,1,5,17
IL:_Fulton_County,1,0,2,1,2,6
IL:_Gallatin_County,0,0,2,0,2,4
IL:_Greene_County,1,1,3,1,0,6
IL:_Grundy_County,4,4,3,2,2,15
IL:_Hamilton_County,0,0,0,1,0,1
IL:_Hancock_County,0,2,4,1,2,9
IL:_Hardin_County,0,0,0,1,0,1
IL:_Henderson_County,0,2,0,0,1,3
IL:_Henry_County,6,3,4,2,0,15
IL:_Iroquois_County,1,3,1,3,1,9
IL:_Jackson_County,5,4,2,2,4,17
IL:_Jasper_County,2,2,0,1,0,5
IL:_Jefferson_County,2,1,1,1,3,8
IL:_Jersey_County,0,1,3,1,0,5
IL:_Jo_Daviess_County,1,3,3,3,1,11
IL:_Johnson_County,0,1,2,1,0,4
IL:_Kane_County,21,23,20,20,23,107
IL:_Kankakee_County,11,8,12,5,7,43
IL:_Kendall_County,4,6,2,6,2,20
IL:_Knox_County,3,5,7,1,6,22
IL:_Lake_County,27,40,36,37,52,192
