County,2000,2001,2002,2003,2004,sum
UT:_Wayne_County,2,1,0,0,2,5
UT:_Weber_County,47,70,60,74,66,317
WA:_Clallam_County,80,63,82,66,95,386
WA:_Grays_Harbor_County,100,79,89,86,86,440
WA:_Island_County,62,46,56,65,58,287
WA:_Jefferson_County,21,31,28,39,24,143
WA:_King_County,1003,944,995,985,965,4892
WA:_Kitsap_County,150,176,169,165,184,844
WA:_Mason_County,60,64,61,70,71,326
WA:_Pierce_County,494,505,488,507,511,2505
WA:_San_Juan_County,14,12,5,8,9,48
WA:_Skagit_County,85,73,99,91,79,427
WA:_Snohomish_County,305,385,370,376,359,1795
WA:_Thurston_County,144,148,158,183,155,788
WA:_Whatcom_County,85,98,101,113,117,514
