County,2000,2001,2002,2003,2004,sum
GA:_Carroll_County,69,60,71,62,64,326
GA:_Catoosa_County,49,57,58,54,50,268
GA:_Charlton_County,4,10,9,7,7,37
GA:_Chatham_County,209,173,169,195,181,927
GA:_Chattahoochee_County,2,1,3,6,5,17
GA:_Chattooga_County,20,29,23,26,26,124
GA:_Cherokee_County,75,102,76,96,90,439
GA:_Clarke_County,43,44,38,55,45,225
GA:_Clay_County,3,5,1,2,3,14
GA:_Clinch_County,9,8,9,5,6,37
GA:_Coffee_County,29,26,33,25,35,148
GA:_Colquitt_County,39,30,36,44,35,184
GA:_Columbia_County,46,56,54,72,66,294
GA:_Cook_County,8,11,5,9,12,45
GA:_Coweta_County,62,63,64,69,69,327
GA:_Crawford_County,5,14,14,13,9,55
GA:_Crisp_County,19,25,14,23,14,95
GA:_Dade_County,15,15,11,19,13,73
GA:_Dawson_County,10,12,14,13,18,67
GA:_Decatur_County,17,25,22,25,20,109
GA:_Dodge_County,10,14,20,27,9,80
GA:_Dooly_County,7,8,10,14,15,54
GA:_Dougherty_County,73,61,86,82,75,377
GA:_Douglas_County,67,65,60,62,66,320
GA:_Early_County,10,19,7,9,11,56
GA:_Echols_County,2,6,2,3,3,16
GA:_Effingham_County,31,23,24,31,21,130
GA:_Elbert_County,15,23,17,11,22,88
GA:_Emanuel_County,13,21,20,17,22,93
GA:_Evans_County,13,9,10,9,8,49
GA:_Fannin_County,24,23,32,19,23,121
GA:_Fayette_County,44,49,51,45,73,262
GA:_Floyd_County,78,76,89,100,79,422
GA:_Forsyth_County,56,49,54,52,61,272
GA:_Franklin_County,16,19,21,14,16,86
GA:_Gilmer_County,19,22,25,13,24,103
GA:_Glynn_County,61,50,72,73,61,317
GA:_Gordon_County,37,40,29,44,50,200
GA:_Grady_County,14,18,21,19,21,93
GA:_Habersham_County,25,32,31,33,27,148
GA:_Hall_County,84,78,85,98,90,435
GA:_Haralson_County,24,26,30,18,33,131
GA:_Harris_County,17,13,14,21,19,84
GA:_Hart_County,27,21,22,29,23,122
GA:_Heard_County,8,11,9,16,10,54
GA:_Henry_County,64,72,90,94,78,398
GA:_Houston_County,62,85,92,75,86,400
GA:_Irwin_County,7,10,8,9,7,41
GA:_Jackson_County,33,32,36,36,31,168
GA:_Jeff_Davis_County,11,16,15,16,9,67
GA:_Jenkins_County,10,9,8,7,7,41
GA:_Johnson_County,10,6,3,6,3,28
GA:_Jones_County,15,13,12,17,21,78
GA:_Lamar_County,15,13,6,17,17,68
GA:_Lanier_County,8,5,11,9,8,41
GA:_Laurens_County,30,34,39,39,48,190
GA:_Lee_County,12,12,13,13,15,65
GA:_Liberty_County,22,18,29,27,25,121
GA:_Lincoln_County,5,11,15,4,7,42
GA:_Long_County,5,7,4,6,4,26
GA:_Lowndes_County,59,81,66,66,54,326
GA:_Lumpkin_County,12,18,25,23,21,99
GA:_McDuffie_County,24,19,22,15,18,98
GA:_McIntosh_County,14,13,11,11,7,56
GA:_Macon_County,11,10,12,11,12,56
GA:_Madison_County,23,19,21,32,20,115
GA:_Marion_County,3,2,5,7,5,22
GA:_Meriwether_County,13,11,20,23,27,94
GA:_Miller_County,9,2,10,6,12,39
GA:_Mitchell_County,23,24,23,23,22,115
GA:_Monroe_County,15,14,16,18,11,74
GA:_Montgomery_County,6,8,5,7,4,30
GA:_Murray_County,40,31,29,42,40,182
GA:_Muscogee_County,129,136,136,149,135,685
GA:_Newton_County,43,41,59,56,55,254
GA:_Oconee_County,15,14,10,10,13,62
GA:_Oglethorpe_County,9,10,15,13,7,54
GA:_Paulding_County,42,54,44,54,49,243
GA:_Peach_County,18,17,13,20,18,86
GA:_Pickens_County,21,21,26,26,28,122
GA:_Pierce_County,15,15,8,27,18,83
GA:_Pike_County,7,8,10,7,10,42
GA:_Polk_County,31,40,54,52,32,209
GA:_Pulaski_County,5,10,12,2,5,34
GA:_Quitman_County,2,4,7,6,4,23
GA:_Rabun_County,18,15,19,13,15,80
GA:_Randolph_County,6,5,6,4,4,25
GA:_Richmond_County,153,162,163,141,148,767
GA:_Rockdale_County,38,59,50,46,42,235
GA:_Schley_County,4,1,5,2,3,15
GA:_Screven_County,10,14,20,14,12,70
GA:_Seminole_County,6,7,9,6,13,41
GA:_Spalding_County,49,47,42,40,47,225
GA:_Stephens_County,23,23,28,16,20,110
GA:_Stewart_County,4,1,5,4,7,21
GA:_Sumter_County,28,22,17,15,22,104
GA:_Talbot_County,1,5,4,7,6,23
GA:_Tattnall_County,13,27,27,14,14,95
GA:_Taylor_County,6,5,7,4,8,30
GA:_Telfair_County,8,6,8,13,12,47
GA:_Terrell_County,10,18,13,9,13,63
GA:_Thomas_County,39,49,43,26,50,207
GA:_Tift_County,26,31,35,23,17,132
GA:_Toombs_County,32,20,21,21,21,115
GA:_Towns_County,14,15,9,15,24,77
GA:_Treutlen_County,3,7,6,5,7,28
GA:_Troup_County,60,41,51,35,47,234
GA:_Turner_County,13,7,8,10,4,42
GA:_Twiggs_County,9,7,8,10,8,42
GA:_Union_County,18,17,20,26,21,102
GA:_Upson_County,30,25,17,27,24,123
GA:_Walker_County,76,82,78,89,76,401
GA:_Walton_County,33,49,38,41,54,215
GA:_Ware_County,31,44,27,23,32,157
GA:_Wayne_County,19,22,24,43,22,130
GA:_Webster_County,4,2,1,0,5,12
GA:_Wheeler_County,6,0,3,1,7,17
GA:_White_County,21,27,18,11,19,96
GA:_Whitfield_County,82,63,76,72,94,387
GA:_Wilcox_County,11,14,8,8,4,45
GA:_Wilkes_County,10,17,14,11,12,64
GA:_Wilkinson_County,8,17,12,11,9,57
GA:_Worth_County,24,14,23,21,26,108
HI:_Hawaii_County,89,90,98,103,104,484
HI:_Honolulu_County,464,439,493,490,553,2439
HI:_Kalawao_County,0,0,0,2,0,2
HI:_Kauai_County,35,25,29,30,49,168
HI:_Maui_County,65,63,64,83,68,343
ID:_Ada_County,155,142,146,189,170,802
ID:_Adams_County,1,3,3,3,3,13
ID:_Bannock_County,22,18,32,37,29,138
ID:_Bear_Lake_County,0,0,0,2,3,5
ID:_Benewah_County,8,6,8,9,9,40
ID:_Bingham_County,13,11,18,9,9,60
ID:_Blaine_County,2,10,6,5,3,26
ID:_Boise_County,4,1,4,5,9,23
ID:_Bonner_County,29,30,29,31,30,149
ID:_Bonneville_County,29,33,21,34,36,153
ID:_Boundary_County,6,9,7,9,7,38
ID:_Butte_County,2,1,2,2,5,12
ID:_Camas_County,1,0,0,1,0,2
ID:_Canyon_County,61,71,60,79,86,357
ID:_Caribou_County,3,0,3,2,1,9
ID:_Cassia_County,6,7,8,13,3,37
ID:_Clark_County,0,0,3,0,0,3
ID:_Clearwater_County,3,6,10,6,10,35
ID:_Custer_County,4,2,2,2,4,14
ID:_Elmore_County,20,9,13,13,19,74
ID:_Franklin_County,3,3,0,0,1,7
ID:_Fremont_County,5,5,8,3,4,25
ID:_Gem_County,14,15,11,18,14,72
ID:_Gooding_County,5,4,17,10,12,48
ID:_Idaho_County,9,8,16,6,9,48
ID:_Jefferson_County,8,1,2,4,7,22
ID:_Jerome_County,12,5,12,5,11,45
ID:_Kootenai_County,90,80,54,74,90,388
ID:_Latah_County,12,9,15,7,14,57
ID:_Lemhi_County,11,5,7,8,7,38
ID:_Lewis_County,6,3,3,10,6,28
ID:_Lincoln_County,5,2,2,4,4,17
ID:_Madison_County,7,2,3,2,3,17
ID:_Minidoka_County,10,7,9,10,9,45
ID:_Nez_Perce_County,42,28,43,43,42,198
ID:_Oneida_County,0,0,1,0,6,7
ID:_Owyhee_County,7,5,8,9,6,35
ID:_Payette_County,22,11,16,10,15,74
ID:_Power_County,2,1,4,1,2,10
ID:_Shoshone_County,19,19,23,22,13,96
ID:_Teton_County,2,2,1,0,2,7
